elapsed_s,esp_ms,state,clutch_mode,angle_deg,motor3_pwm,error,motor2_count,target_count,position_error,motor2_pwm,target_step
9.100,7314469,0,0,0.0,0,0,409,409,0,0,0
9.200,7314569,0,0,0.0,0,0,409,409,0,0,0
9.300,7314669,0,0,0.0,0,0,409,409,0,0,0
9.399,7314769,0,0,0.0,0,0,409,409,0,0,0
9.500,7314869,0,0,0.0,0,0,409,409,0,0,0
9.599,7314969,0,0,0.0,0,0,409,409,0,0,0
9.700,7315069,0,0,0.0,0,0,409,409,0,0,0
9.800,7315169,0,0,0.0,0,0,409,409,0,0,0
9.899,7315269,0,0,0.0,0,0,409,409,0,0,0
9.999,7315369,0,0,0.0,0,0,409,409,0,0,0
10.100,7315469,0,0,0.0,0,0,409,409,0,0,0
10.199,7315569,0,0,0.0,0,0,409,409,0,0,0
10.300,7315669,0,0,0.0,0,0,409,409,0,0,0
10.400,7315769,0,0,0.0,0,0,409,409,0,0,0
10.513,7315881,0,0,0.0,0,0,409,409,0,0,0
10.601,7315969,0,0,0.0,0,0,409,409,0,0,0
10.700,7316069,0,0,0.0,0,0,409,409,0,0,0
10.799,7316169,0,0,0.0,0,0,409,409,0,0,0
10.899,7316269,0,0,0.0,0,0,409,409,0,0,0
10.999,7316369,0,0,0.0,0,0,409,409,0,0,0
11.099,7316469,0,0,0.0,0,0,409,409,0,0,0
11.200,7316569,0,0,0.0,0,0,409,409,0,0,0
11.300,7316669,0,0,0.0,0,0,409,409,0,0,0
11.399,7316769,0,0,0.0,0,0,409,409,0,0,0
11.502,7316869,0,0,0.0,0,0,409,409,0,0,0
11.600,7316969,0,0,0.0,0,0,409,409,0,0,0
11.699,7317069,0,0,0.0,0,0,409,409,0,0,0
11.800,7317169,0,0,0.0,0,0,409,409,0,0,0
11.899,7317269,0,0,0.0,0,0,409,409,0,0,0
11.999,7317369,0,0,0.0,0,0,409,409,0,0,0
12.100,7317469,0,0,0.0,0,0,409,409,0,0,0
12.200,7317569,0,0,0.0,0,0,409,409,0,0,0
12.299,7317669,0,0,0.0,0,0,409,409,0,0,0
12.399,7317769,0,0,0.0,0,0,409,409,0,0,0
